Id,Probability,LoanAmount
441,0.092332214,2326
442,0.39043376,5607
443,0.32071006,336
444,0.16561991,5313
445,0.08935925,250
446,0.25167555,2274
447,0.77093333,7120
448,0.26295367,2085
449,0.34393966,6905
450,0.13096718,3995
451,0.45648223,5520
452,0.1597066,816
453,0.87068194,4738
454,0.6558474,8005
455,0.35965416,3399
456,0.3483181,2900
457,0.1279343,916
458,0.5200004,2433
459,0.71003014,2457
460,0.13833433,2560
461,0.24939072,3705
462,0.045548722,250
463,0.014018091,250
464,0.21135706,3207
465,0.39389786,3533
466,0.3743561,6959
467,0.49851966,4674
468,0.0036804231,250
469,0.42190132,3167
470,0.021503657,1052
471,0.010314227,250
472,0.8506692,4425
473,0.29891208,5601
474,0.7866334,6523
475,0.04397664,931
476,0.005922307,250
477,0.40527555,2227
478,0.20431364,711
479,0.31173393,4696
480,0.24745998,4212
481,0.49642327,5148
482,0.11199838,1371
483,0.8299163,6523
484,0.0139354225,250
485,0.63956416,2441
486,0.22814542,250
487,0.35344195,5784
488,0.20767097,7584
489,0.94864655,8258
490,0.895093,5624
491,0.9129184,6954
492,0.7630995,2071
493,0.5494519,4928
494,0.3638551,2126
495,0.30610925,2490
496,0.19183151,2992
497,0.17626965,2660
498,0.50842756,5966
499,0.7892213,10540
500,0.25576416,6078
501,0.014804117,250
502,0.9265417,8293
503,0.2884748,3731
504,0.36159357,6065
505,0.9811616,6617
506,0.21499112,4638
507,0.2331251,3955
508,0.27235436,2909
509,0.072448574,2727
510,0.37279475,3196
511,0.6813172,1661
512,0.38689077,3237
513,0.64141476,4426
514,0.09900342,1775
515,0.73341995,4791
516,0.34543893,5728
517,0.36192226,2266
518,0.19810282,4399
519,0.17805044,4211
520,0.78389573,5075
521,0.011054516,650
522,0.06362996,2323
523,0.15606591,2174
524,0.1800732,3009
525,0.46013933,5289
526,0.48146704,5674
527,0.09195153,1312
528,0.91148233,8116
529,0.8914249,7248
530,0.87281233,7824
531,0.67766976,3482
532,0.037650276,250
533,0.39464545,6020
534,0.47254765,5123
535,0.5422373,8074
536,0.6597189,5092
537,0.8876755,6180
538,0.36843812,4721
539,0.40137488,4657
540,0.1785657,4048
541,0.3841348,6110
542,0.78256613,5283
543,0.28741544,5056
544,0.5859551,6066
545,0.100138314,2239
546,0.24439141,2829
547,0.12546422,250
548,0.3072241,3181
549,0.647871,4296
550,0.84511906,6251
551,0.40563187,4209
552,0.4401667,3295
553,0.3032747,3515
554,0.10801517,2036
555,0.0042668018,250
556,0.020538308,2430
557,0.24523722,1846
558,0.49824616,2546
559,0.9485248,7928
560,0.073283784,2683
561,0.24060595,2192
562,0.10926,1657
563,0.59618574,5928
564,0.47890264,6032
565,0.18665569,1782
566,0.26542765,5311
567,0.32207298,3278
568,0.2195638,3137
569,0.22905158,3722
570,0.8803246,9426
571,0.121592976,3366
572,0.9462269,7864
573,0.20648214,4622
574,0.03583748,3765
575,0.7681339,6263
576,0.03286569,3147
577,0.019658078,1576
578,0.43008515,4338
579,0.48917046,4390
580,0.0039170985,250
581,0.04852749,2634
582,0.65180737,3308
583,0.18143643,1904
584,0.29350027,2742
585,0.03701878,3233
586,0.33411387,1781
587,0.79509497,6572
588,0.23499735,1917
589,0.27144217,3793
590,0.32531843,861
591,0.06963498,917
592,0.18803725,1968
593,0.11874287,3290
594,0.61590296,2909
595,0.09183943,250
596,0.17492594,1586
597,0.15071252,2947
598,0.383465,2440
599,0.83593434,6100
600,0.061049033,632
601,0.17890903,4231
602,0.61282164,3299
603,0.26467344,2750
604,0.10476583,250
605,0.49408397,4577
606,0.29584497,5118
607,0.8042331,6764
608,0.87218034,3980
609,0.009665514,982
610,0.95086855,7251
611,0.28002977,5671
612,0.35497636,2078
613,0.015721703,3176
614,0.21783598,3576
615,0.043667555,250
616,0.64655083,9076
617,0.66733885,7136
618,0.92073816,6433
619,0.6453277,5197
620,0.19069526,2349
621,0.20148169,1634
622,0.016927455,250
623,0.15779307,250
624,0.9332048,7611
625,0.43312207,5664
626,0.06733249,250
627,0.9367415,9225
628,0.250136,3772
629,0.95324314,7110
630,0.043734312,250
631,0.8683106,5460
632,0.6194412,3972
633,0.5351673,4109
634,0.010546244,261
635,0.24002844,3346
636,0.6790846,7375
637,0.5940372,8206
638,0.32172126,3094
639,0.24550675,4850
640,0.79462147,4550
641,0.9392478,6143
642,0.10967646,3905
643,0.29262942,3891
644,0.42756072,2212
645,0.8345741,7109
646,0.21156828,3333
647,0.39185706,5563
648,0.9012635,4424
649,0.30547586,3196
650,0.94950813,7215
651,0.45035332,6370
652,0.18082316,250
653,0.09359452,250
654,0.6570204,2160
655,0.6994151,4689
656,0.6463514,6859
657,0.20808841,2616
658,0.078796126,567
659,0.2986137,1977
660,0.6506297,5510
661,0.3042944,7798
662,0.15503186,2247
663,0.34109065,3146
664,0.09054899,317
665,0.011325766,250
666,0.47217563,4142
667,0.15588073,2365
668,0.20023504,2498
669,0.03618459,4426
670,0.5143358,4767
671,0.37012953,2275
672,0.07825549,250
673,0.8471654,5560
674,0.8393527,4774
675,0.010314227,250
676,0.640266,2071
677,0.31600893,4572
678,0.050355583,3484
679,0.36290202,4905
680,0.21178305,1115
681,0.98178905,8329
682,0.08163431,540
683,0.21324028,4016
684,0.37138015,3235
685,0.55284214,4994
686,0.0045716483,250
687,0.25452384,2219
688,0.093602024,250
689,0.28994498,1908
690,0.29391745,5909
691,0.37279335,3627
692,0.3847274,2491
693,0.034743693,250
694,0.09346158,1519
695,0.08411135,4245
696,0.90491223,5829
697,0.75793743,5157
698,0.81434256,5566
699,0.008728333,250
700,0.31659776,4881
701,0.28976923,6144
702,0.22539575,2424
703,0.7279343,5644
704,0.9009001,7688
705,0.83229154,9528
706,0.6859009,4817
707,0.08254251,250
708,0.2599615,297
709,0.01014879,250
710,0.03985193,1755
711,0.16443105,1410
712,0.21921566,3203
713,0.2719842,2539
714,0.010272398,786
715,0.91843283,8247
716,0.06252136,2148
717,0.30725622,1696
718,0.40501598,3063
719,0.18615626,250
720,0.7577832,5325
721,0.039487295,250
722,0.79602754,5750
723,0.15818417,1809
724,0.9453931,6554
725,0.21635085,2005
726,0.013427869,2298
727,0.44061366,3043
728,0.038584158,332
729,0.023904229,250
730,0.2757168,3988
731,0.14205249,2641
732,0.11452625,2267
733,0.93131876,6138
734,0.33400506,4183
735,0.24346927,6204
736,0.25032568,3497
737,0.22100735,3716
738,0.24353014,3837
739,0.75677073,6565
740,0.47076675,3569
741,0.03302799,250
742,0.29987866,5490
743,0.36385092,3583
744,0.33638766,4945
745,0.19861844,1825
746,0.5390756,5237
747,0.516525,7546
748,0.2579328,6160
749,0.3438485,1163
750,0.67466265,4981
751,0.2982802,1071
752,0.17914562,3265
753,0.8091788,6322
754,0.1629137,2313
755,0.39468697,4556
756,0.053049184,1061
757,0.31444976,3161
758,0.27822134,3328
759,0.45489246,5137
760,0.04849012,424
761,0.24521354,5844
762,0.22652826,4095
763,0.15845545,3015
764,0.0765686,1957
765,0.22945777,2924
766,0.29059526,3787
767,0.021173904,250
768,0.21634713,4312
769,0.7841254,11347
770,0.13277656,2082
771,0.14252166,1939
772,0.24122669,2295
773,0.87456864,8382
774,0.84624213,5727
775,0.47661158,6690
776,0.10917961,1112
777,0.37015316,3668
778,0.07255486,3216
779,0.28996563,4120
780,0.39233065,5162
781,0.4494497,2754
782,0.21701902,818
783,0.954046,6510
784,0.20675558,3098
785,0.021885257,250
786,0.09299748,3750
787,0.72626495,3860
788,0.6052511,6542
789,0.006874249,360
790,0.09011008,4349
791,0.015353313,442
792,0.3353389,2349
793,0.8367244,5933
794,0.3084625,2359
795,0.068406515,3315
796,0.1994958,1766
797,0.29410946,2878
798,0.12994455,250
799,0.6875577,6650
800,0.686412,4798
801,0.4663483,2635
802,0.47101206,4811
803,0.075572595,250
804,0.35255003,1854
805,0.08773308,3056
806,0.0051975474,250
807,0.1768357,988
808,0.6804844,6971
809,0.500033,5742
810,0.43376943,5517
811,0.34294787,5064
812,0.18396224,250
813,0.12182948,2618
814,0.3674608,5590
815,0.2861743,3822
816,0.13681714,251
817,0.10646732,3029
818,0.3764049,3457
819,0.062079713,252
820,0.23956405,4536
821,0.23550482,4364
822,0.5008222,5595
823,0.776332,8474
824,0.023299666,250
825,0.22594997,3521
826,0.41479313,2434
827,0.014443195,552
828,0.046298478,4345
829,0.0070732865,250
830,0.30461046,3934
831,0.032268014,936
832,0.061450496,2007
833,0.80930024,10269
834,0.020789107,250
835,0.7329077,6744
836,0.26720855,2413
837,0.49642596,6954
838,0.8611891,4046
839,0.22314145,4879
840,0.82722145,4735
841,0.20700333,250
842,0.3110765,2368
843,0.22521362,4104
844,0.9400637,6991
845,0.33478218,2159
846,0.61974657,3617
847,0.8756392,6118
848,0.57596517,7801
849,0.0036804231,250
850,0.13259731,3000
851,0.88373417,10151
852,0.2690236,4744
853,0.4839771,5606
854,0.10464382,1139
855,0.007507351,250
856,0.7261197,4984
857,0.27023387,4715
858,0.17209229,3796
859,0.339791,5772
860,0.5678747,3347
861,0.19346663,3271
862,0.2905795,1773
863,0.36762586,2371
864,0.18516698,4102
865,0.14042006,713
866,0.24201046,1134
867,0.007394911,250
868,0.13053407,250
869,0.9325561,7711
870,0.012923308,974
871,0.22164029,3531
872,0.0992186,250
873,0.8166986,4793
874,0.22997059,337
875,0.9631727,5477
876,0.20356618,830
877,0.19748935,1661
878,0.9012703,4864
879,0.043892417,404
880,0.9233272,7779
881,0.6831975,7519
882,0.22838365,6041
883,0.123420745,655
884,0.21415436,436
885,0.17514661,4274
886,0.30257443,1689
887,0.30647504,3009
888,0.16154598,2096
889,0.099773414,2806
890,0.22238278,4110
891,0.18970928,3452
892,0.037461568,250
893,0.49557102,4883
894,0.01467207,250
895,0.2950519,2792
896,0.34176838,4570
897,0.15497784,288
898,0.29979828,2463
899,0.20349348,2322
900,0.2294015,3185
901,0.15379937,250
902,0.22368963,1918
903,0.42014068,4653
904,0.90787965,5595
905,0.2745515,1444
906,0.024380833,250
907,0.007472485,250
908,0.934027,8523
909,0.054981507,2348
910,0.7424205,5321
911,0.101974465,250
912,0.01614931,250
913,0.0072548124,250
914,0.016962674,2052
915,0.9630718,9564
916,0.32789174,5249
917,0.9235821,6448
918,0.1670152,1165
919,0.06198111,1564
920,0.6435897,1584
921,0.07616413,250
922,0.73361236,4568
923,0.89005923,7315
924,0.48650268,250
925,0.83803284,5082
926,0.042926237,681
927,0.104305685,945
928,0.3741195,616
929,0.15292937,1444
930,0.12784246,250
931,0.021864092,250
932,0.026704311,822
933,0.51360935,4504
934,0.7933256,4427
935,0.17248735,2851
936,0.82210046,9727
937,0.32241824,1165
938,0.20794958,888
939,0.37188712,3124
940,0.1844711,1834
941,0.11969224,1541
942,0.8880856,9143
943,0.048951317,1249
944,0.4116831,2244
945,0.21032253,4993
946,0.39501473,5120
947,0.114073485,2922
948,0.12400018,2286
949,0.0051975474,250
950,0.8044663,6084
951,0.9773932,9582
952,0.038810205,250
953,0.37276688,2294
954,0.38130158,4589
955,0.23493853,842
956,0.034684587,2323
957,0.08830386,250
958,0.43156028,7160
959,0.32783672,3545
960,0.11762377,3861
961,0.13617773,3711
962,0.3940777,5932
963,0.6829985,5169
964,0.60932314,2849
965,0.48591065,1907
966,0.10857469,3728
967,0.006154112,443
968,0.014661534,2574
969,0.02020788,825
970,0.510609,2216
971,0.03630976,250
972,0.22265412,2099
973,0.07441142,1928
974,0.03777771,250
975,0.2805654,5127
976,0.86702704,3785
977,0.23477525,3007
978,0.11107136,1501
979,0.037025053,250
980,0.7419667,5102
981,0.18408182,1468
982,0.89320064,5677
983,0.6521947,1973
984,0.6094819,5658
985,0.8150172,6173
986,0.09069987,1920
987,0.28614533,1779
988,0.37248114,5894
989,0.20054461,1873
990,0.74993485,4655
991,0.5735469,4967
992,0.71580607,6220
993,0.3786358,6013
994,0.3661868,7860
995,0.06967058,250
996,0.5331838,5308
997,0.25225037,1997
998,0.24769762,1155
999,0.0053214,250
1000,0.50042456,8022
